title,country,variety,points,price
Château Lestruelle 2016  Bordeaux Blanc,France,Bordeaux-style White Blend,90,15.0
Mar de Viñas 2014 Albariño (Rías Baixas),Spain,Albariño,90,17.0
Waterstone 2012 Pinot Gris (Napa Valley),US,Pinot Gris,88,18.0
Blair 2012 Delfina's Vineyard Pinot Noir (Arroyo Seco),US,Pinot Noir,89,35.0
Luis Cañas 2006 Reserva  (Rioja),Spain,Tempranillo Blend,89,21.0
Cicchitti 2012 Gran Reserva Malbec (Mendoza),Argentina,Malbec,93,60.0
Bellenda 2011 Millesimato San Fermo Brut  (Conegliano Valdobbiadene Prosecco Superiore),Italy,Glera,86,19.0
L. Tramier & Fils 2013 Collection  (Corton),France,Pinot Noir,91,110.0
Bogle 2004 Phantom Old Vine Red (California),US,Red Blend,84,17.0
Taittinger NV Nocturne Rosé Sec  (Champagne),France,Champagne Blend,87,95.0
Poderi Aldo Conterno 2004  Barolo,Italy,Nebbiolo,92,126.0
J.P. Chenet 2015 Reserve Pinot Noir (Vin de France),France,Pinot Noir,84,10.0
Les Vins Bréban 2015 Lavendette Rosé,France,Rosé,86,12.0
Concha y Toro 2010 Casillero del Diablo Reserve Malbec (Rapel Valley),Chile,Malbec,83,12.0
Château Haut-Bellevue 2009  Moulis-en-Médoc,France,Bordeaux-style Red Blend,90,42.0
Peconic Bay Winery 2001 Riesling (North Fork of Long Island),US,Riesling,84,13.0
Trivento 2014 Reserve Cabernet Sauvignon (Mendoza),Argentina,Cabernet Sauvignon,87,11.0
Roche 2013 Barrel Select American Oak Reserve Chardonnay (Carneros),US,Chardonnay,87,34.0
Canard-Duchêne NV Charles VII La Grande Cuvée Blanc de Noirs Brut  (Champagne),France,Champagne Blend,91,60.0
Fratelli Berlucchi 2009 Pas Dosé Vintage Sparkling (Franciacorta),Italy,Sparkling Blend,93,50.0
Cantina di Sorbara NV Amabile  (Lambrusco di Sorbara),Italy,Lambrusco,83,11.0
Comtesse Thérèse 2011 Sauvignon Blanc (North Fork of Long Island),US,Sauvignon Blanc,85,28.0
Goldeneye 2012 Anderson Valley Pinot Noir (Anderson Valley),US,Pinot Noir,91,55.0
Quinta da Romaneira 2013 Reserva Red (Douro),Portugal,Portuguese Red,94,60.0
Thurston Wolfe 2009 Zephyr Ridge Vineyard Petite Sirah (Horse Heaven Hills),US,Petite Sirah,91,20.0
Viszlay Vineyards 2013 Estate Petite Sirah (Russian River Valley),US,Petite Sirah,90,42.0
Wines & Winemakers 2013 Monta da Baía Reserva Red (Península de Setúbal),Portugal,Portuguese Red,92,18.0
Salatin NV Brut  (Prosecco Treviso),Italy,Glera,84,16.0
Cayuse 2014 Camaspelo Red (Walla Walla Valley (OR)),US,Red Blend,92,85.0
Grizzly Peak 2013 Cabernet Franc (Rogue Valley),US,Cabernet Franc,85,25.0
Rotari 2013 Brut Metodo Classico Chardonnay (Trento),Italy,Chardonnay,88,20.0
Bello Family Vineyards 2011 Chardonnay (Carneros),US,Chardonnay,85,45.0
Terra Vina Wines 2012 Sangiovese (Columbia Valley (WA)),US,Sangiovese,88,36.0
Château Magnan-Figeac 2014  Saint-Émilion,France,Bordeaux-style Red Blend,87,39.0
Jean-Luc Baldès 2012 Clos Triguedina Les Galets Malbec (Cahors),France,Malbec,94,30.0
Château du Moulin-à-Vent 2011 Croix des Vérillats  (Moulin-à-Vent),France,Gamay,93,51.0
Danie de Wet 2009 Limestone Hill Chardonnay (Robertson),South Africa,Chardonnay,89,16.0
Bortoluzzi 2007 Sauvignon (Venezia Giulia),Italy,Sauvignon,87,21.0
Château de Lamarque 2012 Donjon de Lamarque  (Haut-Médoc),France,Bordeaux-style Red Blend,88,30.0
Ouled Thaleb 2012 Aït Soula Red (Morocco),Morocco,Red Blend,89,25.0
Heritance 2014 Sauvignon Blanc (Napa Valley),US,Sauvignon Blanc,87,18.0
Buehler 2013 Cabernet Sauvignon (Napa Valley),US,Cabernet Sauvignon,90,25.0
Sheldon 2015 The Red Hat Old Vine Field Blend Red (Napa Valley),US,Red Blend,93,37.0
Concannon 2010 Reserve Petite Sirah (Livermore Valley),US,Petite Sirah,91,40.0
St. Urbans-Hof 2012 Nik Weis Leiwener Laurentiuslay Feinherb Grosse Lage Riesling (Mosel),Germany,Riesling,92,55.0
Turkovich 2014 Tempranillo (Yolo County),US,Tempranillo,90,21.0
Raymond 2012 Reserve Selection Cabernet Sauvignon (Napa Valley),US,Cabernet Sauvignon,90,38.0
Frazier 2009 Petit Verdot (Napa Valley),US,Petit Verdot,88,75.0
Criss Cross 2014 Cabernet Sauvignon (Clarksburg),US,Cabernet Sauvignon,86,18.0
Williamson Wines 2006 Clarissa Vin Rouge Red (Dry Creek Valley),US,Bordeaux-style Red Blend,84,47.0
Thirsty Owl Wine Company 2014 Pinot Gris (Finger Lakes),US,Pinot Gris,87,15.0
MontGras 2009 Reserva Cabernet Sauvignon (Colchagua Valley),Chile,Cabernet Sauvignon,83,12.0
Pierre Sparr NV Réserve Sparkling (Crémant d'Alsace),France,Sparkling Blend,84,21.0
Bodega Catena Zapata 2011 Catena Alta Historic Rows Cabernet Sauvignon (Mendoza),Argentina,Cabernet Sauvignon,90,55.0
Ojai 2010 McGinley Vineyard Sauvignon Blanc (Santa Ynez Valley),US,Sauvignon Blanc,86,26.0
Viña Casablanca 2016 Cefiro Reserva Chardonnay (Casablanca Valley),Chile,Chardonnay,82,12.0
Musetta 2007 St. Peter's Church Selection Zinfandel (Dry Creek Valley),US,Zinfandel,85,32.0
Roco 2015 Gravel Road Chardonnay (Willamette Valley),US,Chardonnay,92,40.0
Albert Bichot 2014 Domaine du Pavillon Clos des Maréchaudes  (Corton),France,Pinot Noir,94,150.0
Lanark Lane 2016 Sauvignon Blanc (Marlborough),New Zealand,Sauvignon Blanc,89,18.0
Campos Góticos 2012 Crianza  (Ribera del Duero),Spain,Tempranillo Blend,89,44.0
Page Mill Winery 2014 GPS Red (Livermore Valley),US,Rhône-style Red Blend,90,32.0
Hogue 2004 Terroir Cabernet Sauvignon (Red Mountain),US,Cabernet Sauvignon,87,25.0
Argyle 2014 Nuthouse Chardonnay (Eola-Amity Hills),US,Chardonnay,90,40.0
Clos du Gaimont 2013  Vouvray,France,Chenin Blanc,87,20.0
Domaine Ostertag 2014 Clos Mathis Riesling (Alsace),France,Riesling,93,47.0
Girardet 2012 Estate Grown Syrah (Umpqua Valley),US,Syrah,89,38.0
Dutton-Goldfield 2009 Dutton Ranch Green Valley Vineyard Gewürztraminer (Green Valley),US,Gewürztraminer,92,25.0
Ca'Romè 2012 Rapet  (Barolo),Italy,Nebbiolo,88,103.0
Marchesato degli Aleramici 2007 Riserva  (Brunello di Montalcino),Italy,Sangiovese Grosso,90,65.0
Zina Hyde Cunningham 2007 Sauvignon Blanc (Mendocino County),US,Sauvignon Blanc,85,18.0
Grayson 2012 Pinot Noir (California),US,Pinot Noir,84,12.0
Fongoli 2009  Montefalco Sagrantino,Italy,Sagrantino,87,40.0
Tablas Creek 2010 Esprit de Beaucastel Blanc Grown & Bottled on the Estate Roussanne-Grenache Blanc-Picpoul Blanc White (Paso Robles),US,Rhône-style White Blend,92,40.0
Pertinace 2006  Dolcetto d'Alba,Italy,Dolcetto,85,15.0
Sierra Virgen 2009 Airén Airen (Vino de la Tierra de Castilla),Spain,Airen,80,9.0
Cascina Adelaide 2007 Preda  (Barolo),Italy,Nebbiolo,94,86.0
Cape Mentelle 2010 Wilyabrup Red (Margaret River),Australia,Bordeaux-style Red Blend,91,55.0
San Fabiano Calcinaia 2004 Cerviolo Red (Toscana),Italy,Red Blend,92,49.0
Rock Hollow 2010 Vintner's Selection Sauvignon Blanc (Santa Barbara County),US,Sauvignon Blanc,86,13.0
Brutocao 2012 Uber Tuscan Style Hopland Ranches Estate Bottled Red (Mendocino),US,Red Blend,89,26.0
Rex Hill 2000 Pinot Gris (Willamette Valley),US,Pinot Gris,83,14.0
Henri de Villamont 2005 Les Châtelots Premier Cru  (Chambolle-Musigny),France,Pinot Noir,91,62.0
Georges Vigouroux 2010 Château Leret Réserve Malbec (Cahors),France,Malbec,84,17.0
Weingut Liebfrauenstift 2013 Riesling (Rheinhessen),Germany,Riesling,89,17.0
Pessagno 2012 Chardonnay (Santa Lucia Highlands),US,Chardonnay,85,24.0
Montoya 2010 Cabernet Sauvignon (Napa Valley),US,Cabernet Sauvignon,84,18.0
Capafons-Ossó 2003 Mas de Masos Red (Priorat),Spain,Red Blend,91,70.0
Tiefenbrunner 2009 Chardonnay (Alto Adige),Italy,Chardonnay,88,15.0
Bella 2007 Two Patch Zinfandel (Alexander Valley),US,Zinfandel,88,38.0
Angel's Cup 2013 Vineyard Selection Pinot Grigio (California),US,Pinot Grigio,88,12.0
Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain),US,Cabernet Sauvignon,86,75.0
Rayun 2015 Cabernet Sauvignon (Central Valley),Chile,Cabernet Sauvignon,83,8.0
BKB 2014 Makena Pinot Noir (Eola-Amity Hills),US,Pinot Noir,90,35.0
Barton & Guestier 2013 Passeport  (Pouilly-Fuissé),France,Chardonnay,85,26.0
Taron 2014  Rioja,Spain,Tempranillo,87,10.0
Les Vignerons des Côtes d'Agly 2009 Les Arcades Red (Côtes du Roussillon Villages),France,Rhône-style Red Blend,85,24.0
Avondale 2011 Cyclus White (Paarl),South Africa,White Blend,90,35.0
Navarro Correas 2012 Colección Privada Cabernet Sauvignon (Mendoza),Argentina,Cabernet Sauvignon,86,12.0
Comartin 2013 Pinot Noir (Santa Cruz Mountains),US,Pinot Noir,89,45.0
Blason 2007 Sauvignon (Friuli Isonzo),Italy,Sauvignon,85,10.0
Hug 2010 Starr Ranch Vineyard Cabernet Sauvignon (Paso Robles),US,Cabernet Sauvignon,82,35.0
Adrás 2013 Godello (Ribeira Sacra),Spain,Godello,83,19.0
Villa Maria 2009 Reserve Pinot Noir (Marlborough),New Zealand,Pinot Noir,91,40.0
Taplin Cellars 2013 Terra 9 Cabernet Sauvignon (St. Helena),US,Cabernet Sauvignon,92,65.0
Barrel Oak 2009 Reserve Chardonnay (Virginia),US,Chardonnay,85,28.0
Gianelli 2007 Vermentino (Tuolumne County),US,Vermentino,88,18.0
Ruca Malen 2010 Kinien de Don Raúl Red (Mendoza),Argentina,Bordeaux-style Red Blend,92,68.0
Gyéjacquot Frères NV Collection Rosé Brut  (Champagne),France,Champagne Blend,87,46.0
Lakewood 2010 Pinot Noir (Finger Lakes),US,Pinot Noir,87,16.0
Yali 2009 Wetland Winemaker's Selection Sauvignon Blanc (Rapel Valley),Chile,Sauvignon Blanc,85,8.0
Finca El Quiñón 2008 Chafandin  (Ribera del Duero),Spain,Tempranillo,90,65.0
Carlos Moro 2014 Finca Las Marcas Verdejo (Rueda),Spain,Verdejo,84,40.0
Martin Ray 2015 Rosé of Pinot Noir (Russian River Valley),US,Pinot Noir,91,20.0
Irvine Family Vineyards 2015 Pinot Meunier (Oregon),US,Pinot Meunier,87,35.0
McManis 2012 Pinot Noir (California),US,Pinot Noir,86,11.0
Monterebro 2013 Barrica Red (Jumilla),Spain,Red Blend,88,14.0
Testarossa 2011 Niclaire Pinot Noir (California),US,Pinot Noir,92,79.0
Et Fille 2012 Heredity Pinot Noir (Willamette Valley),US,Pinot Noir,88,34.0
Domaine Schoffit 2007 Rangen Grand Cru Clos Saint Théobald Vendanges Tardives Pinot Gris (Alsace),France,Pinot Gris,94,72.0
Roncão 2014 Quinta da Levandeira Grande Reserva Red (Douro),Portugal,Portuguese Red,89,31.0
Carabella 2014 Inchinnan Pinot Noir (Chehalem Mountains),US,Pinot Noir,89,60.0
Ixsir 2014 Altitudes White (Lebanon),Lebanon,White Blend,88,25.0
Robert Weil 2012 Trocken Riesling (Rheingau),Germany,Riesling,88,20.0
Columbia Crest 2013 Reserve Estate Grown Chardonnay (Horse Heaven Hills),US,Chardonnay,90,26.0
Alta 2008 Sauvignon Blanc (Adelaide Hills),Australia,Sauvignon Blanc,87,25.0
Bodegas M 2011 Querida Albariño (Edna Valley),US,Albariño,86,25.0
Johanneshof Reinisch 2012 Holzspur St. Laurent (Thermenregion),Austria,St. Laurent,95,80.0
Lachini 2013 Al di Là Chardonnay (Willamette Valley),US,Chardonnay,89,45.0
Hall 2012 Eighteen Seventy-Three Cabernet Sauvignon (Napa Valley),US,Cabernet Sauvignon,93,80.0
Lapostolle 2011 Casa Grand Selection Merlot (Rapel Valley),Chile,Merlot,87,12.0
Steltzner 2008 Claret Red (Napa Valley),US,Bordeaux-style Red Blend,86,18.0
Imagery 1999 Sunny Slope Vineyard Merlot (Sonoma Valley),US,Merlot,85,29.0
Collina San Ponzio 2010 Riserva  (Barolo),Italy,Nebbiolo,86,62.0
Re Manfredi 2011  Aglianico del Vulture,Italy,Aglianico,88,35.0
Louis Jadot 2014  Clos de la Roche,France,Pinot Noir,97,286.0
Regina Viarum 2012 Regina Expresion Mencía (Ribeira Sacra),Spain,Mencía,92,24.0
DFJ Vinhos 2012 Coreto Branco White (Lisboa),Portugal,Portuguese White,86,6.0
K Vintners 2013 The Hidden Northridge Vineyard Syrah (Wahluke Slope),US,Syrah,95,70.0
Newman's Own 2010 Pinot Noir (California),US,Pinot Noir,85,10.0
Brave & Maiden 2011 Syrah (Santa Ynez Valley),US,Syrah,91,65.0
Airfield Estates NV Cabernet Sauvignon (Yakima Valley),US,Cabernet Sauvignon,88,24.0
Purple Star 2013 Cabernet Sauvignon (Columbia Valley (WA)),US,Cabernet Sauvignon,89,19.0
Château d'Aydie 2010 Aydie l'Origine Tannat-Cabernet Franc (Madiran),France,Tannat-Cabernet Franc,93,12.0
Lynmar 2011 Jenkins Vineyard Pinot Noir (Russian River Valley),US,Pinot Noir,95,70.0
Errazuriz 2014 Max Reserva Sauvignon Blanc (Aconcagua Costa),Chile,Sauvignon Blanc,89,20.0
Heinz Eifel 2012 Auslese Riesling (Mosel),Germany,Riesling,90,14.0
Château Crusquet Sabourin 2015  Blaye Côtes de Bordeaux,France,Bordeaux-style Red Blend,88,18.0
Gary Farrell 2015 Rochioli-Allen Vineyards Clone 76 Concrete Chardonnay (Russian River Valley),US,Chardonnay,91,60.0
Mazzei 2009 Belguardo Vermentino (Toscana),Italy,Vermentino,88,17.0
Burrowing Owl 2011 Meritage (Okanagan Valley),Canada,Meritage,87,49.0
Bennett Lane 2007 Cabernet Sauvignon (Napa Valley),US,Cabernet Sauvignon,94,55.0
Cambiata 2008 Estate Grown Produced and Bottled Albariño (Monterey),US,Albariño,91,22.0
Millbrook 2015 Proprietor's Special Reserve Chardonnay (Hudson River Region),US,Chardonnay,86,25.0
Bodegas Carballal 2013 Estylo Puro Albariño (Rías Baixas),Spain,Albariño,85,15.0
Borgo Scopeto 2011 Borgonero Red (Toscana),Italy,Red Blend,94,24.0
Germano Ettore 2012 Prapò  (Barolo),Italy,Nebbiolo,94,75.0
Great American Wine Company 2014 Sauvignon Blanc (California),US,Sauvignon Blanc,89,16.0
La Palma 2001 Chardonnay (Rapel Valley),Chile,Chardonnay,83,10.0
Red Electra 2013 Muscat (California),US,Muscat,89,14.0
Gotsa Family Wines 2014 Asureti Valley Chinuri,,Chinuri,87,30.0
Matané 2012 Matanè  (Primitivo di Manduria),Italy,Primitivo,89,20.0
Bodegas Dios Baco S.L. NV 20 yr. Baco Imperial Amontillado Sherry (Jerez),Spain,Sherry,92,90.0
Renato Ratti 2013 Rocche dell'Annunziata  (Barolo),Italy,Nebbiolo,95,100.0
Shiloh Winery 2010 Secret Reserve Cabernet Sauvignon (Judean Hills),Israel,Cabernet Sauvignon,90,40.0
Lionel Osmin & Cie 2015 Villa Grand Cap White (Vin de France),France,White Blend,86,11.0
Casas del Bosque 2015 Gran Reserva Estate Bottled Sauvignon Blanc (Casablanca Valley),Chile,Sauvignon Blanc,87,17.0
Circadia 2012 Cabernet Sauvignon (California),US,Cabernet Sauvignon,86,25.0
Taron 2012 Cepas Centenarias  (Rioja),Spain,Tempranillo,90,30.0
Pratesi 2015 Locorosso Sangiovese (Toscana),Italy,Sangiovese,88,15.0
Long Meadow Ranch 2013 Cabernet Sauvignon (Napa Valley),US,Cabernet Sauvignon,86,52.0
Snoqualmie 2012 Chardonnay (Columbia Valley (WA)),US,Chardonnay,86,13.0
Tensley 2015 Noir Syrah (Santa Barbara County),US,Syrah,94,55.0
Mauro Sebaste 2010 Ghe' Riserva  (Barolo),Italy,Nebbiolo,88,100.0
Dragonette 2014 John Sebastiano Vineyard Syrah (Santa Ynez Valley),US,Syrah,94,55.0
Wine & Soul 2012 Pintas Red (Douro),Portugal,Portuguese Red,95,100.0
Hendry 2010 Block 28 Zinfandel (Napa Valley),US,Zinfandel,90,35.0
Milbrandt 2006 The Estates Merlot (Wahluke Slope),US,Merlot,89,25.0
Suacci Carciere Wines 2006 Suacci Vineyard Pinot Noir (Russian River Valley),US,Pinot Noir,93,48.0
Betz Family 2013 La Côte Patriarche Syrah (Yakima Valley),US,Syrah,93,57.0
Neumeister 2016 Steirische Klassik Gelber Muskateller,,Gelber Muskateller,92,21.0
San Simeon 2013 Sran Vineyard Estate Viognier (Paso Robles),US,Viognier,89,22.0
Township 7 2013 Reserve 7 Red (Okanagan Valley),Canada,Bordeaux-style Red Blend,90,33.0
Cowhorn 2013 21 Syrah (Applegate Valley),US,Syrah,87,45.0
Tasca d'Almerita 2016 Cavallo delle Fate Grillo (Sicilia),Italy,Grillo,88,20.0
Columbia Crest 2012 H3 Les Chevaux Red (Horse Heaven Hills),US,Red Blend,91,15.0
Adelsheim 2014 Calkins Lane Vineyard Pinot Noir (Chehalem Mountains),US,Pinot Noir,93,68.0
Leone de Castris 2013 Elo Veni Negroamaro (Salento),Italy,Negroamaro,88,17.0
Cà di Frara NV Oltre Cruasé Sparkling (Oltrepò Pavese),Italy,Sparkling Blend,86,15.0
Barone Ricasoli 2003 Vin Santo Castello di Brolio Malvasia (Chianti),Italy,Malvasia,93,50.0
Ferreira 2012 Late Bottled Vintage  (Port),Portugal,Port,92,26.0
Poissinet NV Constance Brut Pinot Meunier (Champagne),France,Pinot Meunier,88,53.0
Kalfu 2013 Kuda Pinot Noir (Leyda Valley),Chile,Pinot Noir,86,19.0
Château du Cartillon 2014  Haut-Médoc,France,Bordeaux-style Red Blend,89,33.0
Paris-Simoneau 2016 Antoine Simoneau Sauvignon Blanc (Touraine),France,Sauvignon Blanc,86,9.0
Thurston Wolfe 2010 The Spaniard Red (Horse Heaven Hills),US,Red Blend,89,20.0
Pescaja 2007 Solneri  (Barbera d'Asti Superiore Nizza),Italy,Barbera,87,35.0
Alpha Estate 2008 Alpha One Unfiltered Merlot (Florina),Greece,Merlot,92,59.0
Corner 103 2013 Cabernet Franc (Alexander Valley),US,Cabernet Franc,89,50.0
Dão Sul 2011 Xadrez White (Vinho Verde),Portugal,Portuguese White,84,7.0
Smith & Hook 2014 Cabernet Sauvignon (Central Coast),US,Cabernet Sauvignon,90,25.0
Castillo de Monjardin 2011 Old Vines Garnacha (Navarra),Spain,Garnacha,86,9.0
Château Roquefort 2012  Bordeaux,France,Bordeaux-style Red Blend,88,20.0
Valsacro 2010  Rioja,Spain,Tempranillo,86,22.0
Sierra Cantabria 2012 Crianza  (Rioja),Spain,Tempranillo,91,19.0
La Chablisienne 2015 Pas si Petit  (Petit Chablis),France,Chardonnay,87,19.0
Boxwood 2010 Red (Virginia),US,Bordeaux-style Red Blend,86,25.0
Valdo NV Cuvée del Fondatore  (Prosecco di Valdobbiadene),Italy,Prosecco,87,18.0
Churchill's 2015 Churchill's Estates Branco White (Douro),Portugal,Portuguese White,88,18.0
Sanctuary 2012 Chardonnay (Russian River Valley),US,Chardonnay,89,30.0
Francone 2009 Riserva  (Barbaresco),Italy,Nebbiolo,90,40.0
Windy Bay 2013 Pinot Noir (Oregon),US,Pinot Noir,87,16.0
Joleté 2012 Olson Vineyard Cabernet Sauvignon (Dry Creek Valley),US,Cabernet Sauvignon,88,25.0
Treleaven 2012 Vintner's Cuvée Barrel Fermented Chardonnay (Finger Lakes),US,Chardonnay,88,30.0
Fazi Battaglia 2006 Passo del Lupo Riserva  (Conero),Italy,Red Blend,90,40.0
Fattoria Laila 2012  Verdicchio dei Castelli di Jesi,Italy,Verdicchio,89,12.0
Chateau Ste. Michelle 2015 Dry Riesling (Columbia Valley (WA)),US,Riesling,89,9.0
Hutter 2013 Loibner Kreutles Smaragd Grüner Veltliner (Wachau),Austria,Grüner Veltliner,90,29.0
MacPhail 2012 Anderson Creek Vineyard Pinot Noir (Anderson Valley),US,Pinot Noir,94,49.0
Finn Hill 2016 Blondie Rosé of Sangiovese (Rattlesnake Hills),US,Sangiovese,86,20.0
Concannon 2010 Reserve Petite Sirah (Livermore Valley),US,Petite Sirah,91,40.0
Franz Gojer-Glögglhof 2013 Glogglhof St. Magdalener Classico Schiava (Alto Adige),Italy,Schiava,89,25.0
Tasca d'Almerita 2009 Sallier de la Tour La Monaca Syrah (Sicilia),Italy,Syrah,90,30.0
Porta 2008 Reserva Cabernet Sauvignon (Aconcagua Valley),Chile,Cabernet Sauvignon,85,12.0
Willamette Valley Vineyards 2009 Whole Cluster Fermented Pinot Noir (Willamette Valley),US,Pinot Noir,87,20.0
Terre di San Venanzio Fortunato 2014  Valdobbiadene Prosecco Superiore,Italy,Glera,90,18.0
Louis Latour 2008  Clos de Vougeot,France,Pinot Noir,92,229.0
Pride Mountain 2013 Viognier (Sonoma County),US,Viognier,93,42.0
Monmousseau NV Cuvée J.M. Rosé Brut Sparkling (Touraine),France,Sparkling Blend,88,18.0
Michele Chiarlo 2010 Nivole  (Moscato d'Asti),Italy,Moscato,87,15.0
Penedo Borges 2012 Icono Malbec (Luján de Cuyo),Argentina,Malbec,91,25.0
Schug 2012 Cabernet Sauvignon (Sonoma Valley),US,Cabernet Sauvignon,88,30.0
Ochoa 2016 Calendas Garnacha Rosado (Navarra),Spain,Rosado,86,12.0
Poças 2014 Coroa d'Ouro Red (Douro),Portugal,Portuguese Red,87,12.0
Thörle 2012 Saulheimer Kalkstein Trocken Silvaner (Rheinhessen),Germany,Silvaner,90,28.0
Philippe Fontaine NV Cuvée des Lys Brut Blanc de Blancs Chardonnay (Champagne),France,Chardonnay,87,85.0
Venture Wines 2012 Chardonnay (Russian River Valley),US,Chardonnay,86,35.0
Lone Madrone 2012 Old Hat Red (Paso Robles),US,Red Blend,90,45.0
Patricia Green Cellars 2015 Freedom Hill Vineyard Pommard Clone Pinot Noir (Willamette Valley),US,Pinot Noir,93,48.0
Tahbilk 2013 Cabernet Sauvignon (Nagambie Lakes),Australia,Cabernet Sauvignon,87,23.0
Foley 2013 Bar Lazy S Ranch Pinot Noir (Sta. Rita Hills),US,Pinot Noir,91,55.0
Markus Huber 2011 Hugo Grüner Veltliner (Niederösterreich),Austria,Grüner Veltliner,86,12.0
Bugay 2007 Incline One-Nine Reserve Cabernet Sauvignon (Sonoma County),US,Cabernet Sauvignon,88,90.0
David Girard 2008 Estate Vineyard Mourvèdre (El Dorado),US,Mourvèdre,84,34.0
York Mountain Winery 2006 Albariño (Edna Valley),US,Albariño,87,16.0
Castoro Cellars 2014 Chardonnay (Paso Robles),US,Chardonnay,87,16.0
Cycles Gladiator 2006 Cabernet Sauvignon (Central Coast),US,Cabernet Sauvignon,81,10.0
Château Haut-Peyrous 2008 Pêche au Carrelet  (Graves),France,Bordeaux-style White Blend,90,33.0
Château Tour de Mirambeau 2007  Bordeaux Blanc,France,Bordeaux-style White Blend,89,13.0
Jermann 2001 Vintage Tunina White (Venezia Giulia),Italy,White Blend,90,49.0
Belliard Vins Selections 2014 Excellence de Belliard  (Pomerol),France,Merlot,87,128.0
Bocopa 2014 Señor Sierra de Alicante Tempranillo (Alicante),Spain,Tempranillo,87,10.0
Keller 2014 La Cruz Vineyard Pinot Noir (Sonoma Coast),US,Pinot Noir,93,45.0
Vicente Gandia 2016 El Miracle 120 Aniversario Shiraz-Garnacha Rosé (Valencia),Spain,Rosé,85,15.0
Te Awa 2004 Zone 2 Syrah (Hawke's Bay),New Zealand,Syrah,88,60.0
Standing Stone 2006 Chardonnay (Finger Lakes),US,Chardonnay,83,10.0
Santa Alicia 2014 Reserva Espiritu de Los Andes Estate Bottled Merlot (Maipo Valley),Chile,Merlot,83,12.0
Montes 2010 Classic Series Merlot (Colchagua Valley),Chile,Merlot,83,12.0
Bonacchi 2014 Il Selciato  (Rosso di Montalcino),Italy,Sangiovese,85,20.0
San Pedro 2007 Castillo de Molina Reserva Shiraz (Maule Valley),Chile,Shiraz,87,12.0
Glen Carlou 2006 Chardonnay (Paarl),South Africa,Chardonnay,86,16.0
Château Bel-Air Ortet 2009  Saint-Estèphe,France,Bordeaux-style Red Blend,90,35.0
Talomas 2000 Cabernet Sauvignon-Merlot (California),US,Cabernet Sauvignon-Merlot,85,14.0
Errazuriz 2012 Don Maximiano Founder's Reserve Red (Aconcagua Valley),Chile,Red Blend,90,95.0
Adami NV  Prosecco Superiore di Cartizze,Italy,Prosecco,90,32.0
El Enemigo 2014 Gran Enemigo Gualtallary Single Vineyard Cabernet Franc (Mendoza),Argentina,Cabernet Franc,91,120.0
Keuka Spring 2009 Chardonnay (Finger Lakes),US,Chardonnay,87,14.0
J. Wilkes 2009 Pinot Noir (Santa Maria Valley),US,Pinot Noir,86,24.0
Anthony Nappa 2014 Sciardonné Chardonnay (North Fork of Long Island),US,Chardonnay,89,20.0
Louis Latour 2015 Château Corton Grancey  (Corton),France,Pinot Noir,95,165.0
Mauro Veglio 2012 Rocche dell'Annunziata  (Barolo),Italy,Nebbiolo,92,69.0
Quinta da Lapa 2013 Homenagem Reserva Red (Tejo),Portugal,Portuguese Red,91,30.0
Terlato 2009 Angels' Peak Merlot-Cabernet Franc (Napa Valley),US,Merlot-Cabernet Franc,90,48.0
DFJ Vinhos 2009 Grand'Arte Alicante Bouschet (Lisboa),Portugal,Alicante Bouschet,91,13.0
Rocca del Principe 2010  Fiano di Avellino,Italy,Fiano,86,24.0
Wooldridge Creek 1998 Cabernet Sauvignon (Applegate Valley),US,Cabernet Sauvignon,84,18.0
Sierra Norte 2014 Pasión de Bobal (Utiel-Requena),Spain,Bobal,87,15.0
Domaine de Pellehaut 2016 Harmonie de Gascogne Red (Côtes de Gascogne),France,Red Blend,84,12.0
Château Fleur de Plaisance 2014  Côtes de Bourg,France,Bordeaux-style Red Blend,87,20.0
Château de Landure 2005 Red (Minervois),France,Rhône-style Red Blend,85,10.0
Urban 2012 Nik. Weis Selection Riesling (Mosel),Germany,Riesling,90,12.0
Yardstick 2010 Ruth's Reach Cabernet Sauvignon (Napa Valley),US,Cabernet Sauvignon,86,25.0
For a Song 2010 Cabernet Sauvignon (Columbia Valley (WA)),US,Cabernet Sauvignon,85,15.0
Marqués de Cáceres 2012 Viura (Rioja),Spain,Viura,87,9.0
Casal da Coelheira 2016 Reserva Branco White (Tejo),Portugal,Portuguese White,90,18.0
Francis Tannahill 2011 Dragonfly Gewurztraminer (Washington),US,Gewürztraminer,87,25.0
Edmeades 2013 Zinfandel (Mendocino County),US,Zinfandel,86,20.0
Castello di Bolgheri 2010 Varvàra  (Bolgheri),Italy,Red Blend,92,29.0
Millésimé 2012 Le Jardin Viognier (Paso Robles),US,Viognier,83,28.0
McWilliam's 2013 Cabernet Sauvignon (Hilltops),Australia,Cabernet Sauvignon,90,15.0
Miklus 2011 Natural Art Ribolla Gialla (Delle Venezie),Italy,Ribolla Gialla,87,45.0
Cantina del Pino 2012  Barbera d'Alba,Italy,Barbera,90,30.0
Maryhill 2013 Malbec (Columbia Valley (WA)),US,Malbec,86,24.0
Domaine Vincent Girardin 2010  Echézeaux,France,Pinot Noir,94,141.0
Tarara 2010 Late Harvest Petit Manseng (Virginia),US,Petit Manseng,87,30.0
